season,team,total_runs,total_balls,avg_strike_rate,home_matches,home_wins,home_win_rate,toss_win_rate,bat_first_decision_rate,late_season_match_pct
2018.0,KKR,2655.0,1866.0,134.564609375,9.0,5.0,0.5555555555555556,0.5625,0.0,0.5
2018.0,KXIP,2124.0,1576.0,110.07763157894738,7.0,4.0,0.5714285714285714,0.5,0.14285714285714285,0.5
2018.0,MI,2255.0,1666.0,117.09681818181818,7.0,3.0,0.42857142857142855,0.35714285714285715,0.2,0.5
2018.0,RCB,2240.0,1588.0,112.48777777777778,7.0,4.0,0.5714285714285714,0.5,0.0,0.5
2018.0,RR,2276.0,1715.0,115.48420168067227,7.0,5.0,0.7142857142857143,0.4,0.3333333333333333,0.5333333333333333
2018.0,SRH,2600.0,2001.0,112.83592,8.0,5.0,0.625,0.4117647058823529,0.2857142857142857,0.5294117647058824
2019.0,CSK,2346.0,1999.0,104.37017241379311,8.0,7.0,0.875,0.7058823529411765,0.25,0.29411764705882354
2019.0,DC,2418.0,1858.0,115.9367175572519,8.0,5.0,0.625,0.625,0.2,0.25
2019.0,KKR,2352.0,1633.0,126.2725,7.0,3.0,0.42857142857142855,0.35714285714285715,0.0,0.14285714285714285
2019.0,KXIP,2326.0,1663.0,119.96960396039604,7.0,5.0,0.7142857142857143,0.42857142857142855,0.0,0.14285714285714285
2019.0,MI,2554.0,1885.0,123.50247863247864,9.0,6.0,0.6666666666666666,0.5,0.375,0.25
2019.0,RCB,2129.0,1571.0,110.28761904761906,7.0,3.0,0.42857142857142855,0.2857142857142857,0.0,0.07142857142857142
2019.0,RR,2103.0,1568.0,113.90928571428572,7.0,3.0,0.42857142857142855,0.7857142857142857,0.18181818181818182,0.07142857142857142
2019.0,SRH,2345.0,1719.0,116.91867924528302,7.0,5.0,0.7142857142857143,0.26666666666666666,0.0,0.2
2020.0,CSK,2095.0,1652.0,114.06064516129031,7.0,2.0,0.2857142857142857,0.5714285714285714,0.375,0.0
2020.0,DC,2656.0,2039.0,112.12503875968991,10.0,5.0,0.5,0.5882352941176471,0.5,0.0
2020.0,KKR,2123.0,1672.0,104.0328205128205,7.0,4.0,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.0
2020.0,KXIP,2242.0,1654.0,117.2954255319149,7.0,3.0,0.42857142857142855,0.2857142857142857,0.25,0.0
2020.0,MI,2642.0,1810.0,132.57304761904763,7.0,5.0,0.7142857142857143,0.5,0.5,0.0
2020.0,RCB,2158.0,1744.0,107.58283018867925,8.0,2.0,0.25,0.4,0.6666666666666666,0.0
2020.0,RR,2197.0,1631.0,121.00830357142857,7.0,3.0,0.42857142857142855,0.5,0.2857142857142857,0.0
2020.0,SRH,2395.0,1858.0,108.58828828828828,7.0,4.0,0.5714285714285714,0.6875,0.36363636363636365,0.0
2021.0,CSK,2607.0,1882.0,126.09972477064221,8.0,6.0,0.75,0.375,0.3333333333333333,0.0625
2021.0,DC,2382.0,1853.0,121.4196261682243,9.0,6.0,0.6666666666666666,0.5,0.125,0.0625
2021.0,KKR,2423.0,1918.0,108.934496124031,7.0,4.0,0.5714285714285714,0.47058823529411764,0.125,0.0
2021.0,MI,2016.0,1593.0,104.29617391304348,7.0,4.0,0.5714285714285714,0.5714285714285714,0.375,0.07142857142857142
2021.0,PBKS,2061.0,1629.0,103.9168932038835,7.0,2.0,0.2857142857142857,0.0,0.0,0.07142857142857142
2021.0,RCB,2181.0,1766.0,102.29017543859649,8.0,5.0,0.625,0.6666666666666666,0.4,0.0
2021.0,RR,2087.0,1641.0,99.47224137931035,7.0,4.0,0.5714285714285714,0.5714285714285714,0.125,0.07142857142857142
2021.0,SRH,1959.0,1670.0,103.37896551724137,7.0,2.0,0.2857142857142857,0.5,0.42857142857142855,0.07142857142857142
